name,center_j1,center_i1,angle1,center_3d1,center_j2,center_i2,angle2,center_3d2,center_j3,center_i3,angle3,center_3d3,center_j4,center_i4,angle4,center_3d4,center_j5,center_i5,angle5,center_3d5
C22e4,167,63,-57.6692314147949,"-0.06621596395969391,0.9658185028566882,0.012896034920458398",233,80,-27.1314449310303,"-0.02330485060811043,1.030026574950205,0.02767044925411307",121,185,-30.7423686981201,"0.011453401918212572,1.030925935165491,-0.009451311667410684",74,157,35.3235931396484,"0.005331853230794271,0.9658184944128161,-0.057931464674772504",181,168,22.2477550506592,"0.005611042678356171,1.03322931084853,0.009705006616423456"
C22e5,232,81,-53.0661697387695,"-0.023113891854882242,1.0297181550530312,0.027505852381559608",164,61,-51.0429077148438,"-0.06773987198869388,0.9658184881833187,0.010612991726047263",84,159,-42.631031036377,"0.00685466855764389,0.9658184898565781,-0.05031033588046168",139,138,4.55894088745117,"-0.005198196768760681,1.0150285899135265,-0.004746231731798394",114,189,-22.5844097137451,"0.019661129117012024,1.0044030600250777,-0.018143245043197854"
C22e6,158,52,-36.0861053466797,"-0.0745937000711759,0.9658184890711362,0.0060465595684650215",230,80,-40.8910484313965,"-0.023428269724051157,1.0297631777806684,0.026812390438695752",63,157,-79.0180435180664,"0.0053323417405287425,0.9658185072137685,-0.06631616924652932",147,127,-15.3827857971191,"-0.008073571349183718,1.027347673865711,-0.0010188907807980325",92,177,-63.2285003662109,"0.012735925018787383,1.0092791570192612,-0.027347076353898058"
C22e9,60,157,-77.4870758056641,"0.005332474211851756,0.9658185272816195,-0.06860316354285764",157,52,-35.3307113647461,"-0.07459430366754531,0.9658185165949598,0.00528544191260451",89,197,-31.0375690460205,"0.01844441555440426,1.021164855584222,-0.023912059584356098",143,146,16.4599208831787,"-0.0022486875454584758,0.9956792442988419,-0.003940607246747433",160,97,-8.12102508544922,"-0.01688409353295962,1.0322109274736284,0.003225944170350507"
C32e4,85,116,2.27513551712036,"-0.009299627741177876,1.0389945286054085,-0.01772997096373817",96,179,-16.8080596923828,"0.007404359156886736,1.0417188974204799,-0.013735289663078019",81,148,51.3258514404297,"-0.0005619566639264425,1.0378775601276997,-0.019340173252753175",123,201,-1.35271370410919,"0.013255288526415826,1.041022702269889,-0.006966232869171007",194,68,-10.5625247955322,"-0.020019732862710953,1.0433651808863302,0.010796510588641926"
C32e5,85,117,4.72544479370117,"-0.009072044193744659,1.0387858467937272,-0.017820709751070186",93,178,-22.6995544433594,"0.00713421493768692,1.041799217939995,-0.014470985712447117",81,147,72.6711273193359,"-0.0008324076235294342,1.0384036256762952,-0.019097385916184578",129,192,0.091904185712338,"0.010670502483844758,1.0418978040573552,-0.005282883219001403",137,126,1.09146988391876,"-0.006024423837661743,1.0423515021370682,-0.0032102928015252346"
C32e6,85,117,8.53095054626465,"-0.009065719619393349,1.0388145792648367,-0.017808216330754724",83,144,14.3101081848145,"-0.0016524000465869904,1.0387131384802144,-0.018403423658152417",94,177,-32.9560317993164,"0.006878071054816246,1.0418063986762551,-0.014213382122069114",138,126,1.36544096469879,"-0.006203145384788514,1.0412342912622123,-0.0030500323006827645",122,208,-10.0155954360962,"0.01543831691145897,1.040082708398749,-0.0074028830913483775"
C32e9,195,67,4.95114374160767,"-0.020287220478057862,1.0433226710071195,0.01105325741106774",137,126,0.723492622375488,"-0.006039957404136658,1.042254427939332,-0.003218828166006602",85,124,1.8957667350769,"-0.007026383578777313,1.0394852034061903,-0.017516616306527615",128,205,-8.03701019287109,"0.014458129679163295,1.0405760397629655,-0.005732536406063128",115,162,-16.8885803222656,"0.003011254370212555,1.042370370970957,-0.008729869230651749"
C42e4,131,252,-78.6416015625,"0.02785282462835312,1.0390465237659543,-0.005139467214012474",128,223,-63.955810546875,"0.021639041304588318,1.0355444455488212,-0.006476929518766401",69,221,-67.3035507202148,"0.024667521938681602,1.0279207775570987,-0.028106942017147148",97,215,-61.6655349731445,"0.019056632121404012,1.0360426567142287,-0.015493443596500737",138,180,77.471061706543,"0.0105489619076252,1.0272605487210402,-0.004185512420471959"
C42e5,132,255,-75.926139831543,"0.02847609296441078,1.0393260436422949,-0.004832462255281773",131,224,-60.1910514831543,"0.022063749333222707,1.0352833426155752,-0.005620917029750406",68,222,-72.1098022460938,"0.0247242397069931,1.0285264477602771,-0.0281225260279167",97,215,-56.5929412841797,"0.019121392692128817,1.035893275365005,-0.015546435137727826",87,180,29.8164176940918,"0.022804704308509827,0.9660364719945248,-0.04793237115533209"
C42e6,132,255,-51.5919494628906,"0.028485626727342603,1.0393124260344635,-0.004834113637929199",68,222,-70.9468612670898,"0.02471443176269531,1.0285468669990514,-0.028111330336300682",126,85,12.460301399231,"-0.019256578385829927,1.035570707175112,-0.007065663491926642",82,257,-64.780647277832,"0.028969827592372897,1.0394111799280497,-0.018361482108286257",168,245,5.94078588485718,"0.026572083805998164,1.0380378602464577,0.005082261879453256"
C42e9,130,84,10.4094161987305,"-0.0196963931620121,1.0352430084330322,-0.005924554954363454",103,226,-46.6529083251953,"0.022763423422972363,1.035089865042685,-0.014033529056509906",134,209,-34.6964950561523,"0.017157061398029326,1.0363862450376757,-0.004607283297526837",66,219,-37.5366821289062,"0.023815756738185884,1.028262940139927,-0.028957789340895327",268,227,6.33926248550415,"0.05844387456774711,0.966036473404281,0.08952095640417601"
C52e4,169,170,-31.8139915466309,"0.008228568732738495,1.0182760538273337,0.0078399915068207",141,136,50.8880844116211,"-0.005529504269361496,1.0207598435671568,-0.003528734326699841",223,60,9.86576843261719,"-0.02985377088189125,1.0302135282999194,0.024252511231789613",229,105,14.2188520431519,"-0.03419957309961319,0.965926505285954,0.05999670599582465",113,36,29.391565322876,"-0.08672269999980926,0.9659264990493965,-0.028189455251234497"
C52e5,149,163,-25.8255100250244,"0.005353450973828634,1.0182300173735832,-0.00038901673729841053",190,162,-71.5449676513672,"0.003984609544277191,1.0301758596880808,0.013319762078450302",157,135,1.14970314502716,"-0.0058124493807554245,1.021872203555182,0.00273981875246585",113,36,-44.4150772094727,"-0.08672268867492676,0.9659265139459517,-0.02818945155699116",231,105,17.6967658996582,"-0.0341990053653717,0.965926499035596,0.06151566628941444"
C52e6,156,137,1.63213801383972,"-0.004998747333884239,1.0223193498662497,0.0023350151421829162",113,36,-51.2869606018066,"-0.08672269999980926,0.9659264990493965,-0.028189455251234497",149,164,-20.6771297454834,"0.005810260027647019,1.0177478239145867,-0.0003928341336614339",191,161,-50.2859840393066,"0.003646872068444888,1.030253016702629,0.013630713755816109",231,105,9.45219707489014,"-0.03419900760054588,0.9659264915799921,0.061515670303411624"
C52e9,180,140,-58.2070045471191,"-0.004487855732440949,1.0126654296539768,0.013479409579024968",153,164,-1.4542099237442,"0.0057902286946773535,1.0179603754483737,0.0012632147248837857",53,125,6.33631420135498,"-0.019027654081583023,0.9659264908884061,-0.07386994784957296",115,33,-6.18577289581299,"-0.0890034118294716,0.9659264742355609,-0.026667565112227457",38,164,7.30982065200806,"0.010656819343566895,0.9659264921886654,-0.08529721376046742"
C62e4,180,79,-12.4468507766724,"-0.016018779948353767,1.0461491156779248,0.006826190262601084",116,138,-69.0600967407227,"-0.0038227546215057373,1.0322291860774488,-0.01079086016591885",126,173,-39.4842071533203,"0.008215305979053178,1.026432717561075,-0.008539459069845429",97,54,-31.7245712280273,"-0.02598951816558838,1.0394093876986146,-0.014299129415468445",91,140,28.8582878112793,"-0.002870603899161021,1.036962188468367,-0.016890373635832488"
C62e5,179,81,-6.87436819076538,"-0.01590971991419792,1.0454053637191127,0.006743455815987562",125,173,-64.6819610595703,"0.008149657820661863,1.0268612146804272,-0.008824754196449123",190,236,-34.1257362365723,"0.026097823729117713,1.0344654450607151,0.012181614006988657",116,140,-52.8202590942383,"-0.0032446011900901794,1.0313448523124555,-0.010992471692481824",98,55,-24.0604934692383,"-0.025890941669543584,1.0391373552082372,-0.014122973357517853"
C62e6,179,82,5.35547780990601,"-0.016090768575668334,1.0444971501841283,0.006917866350602482",129,173,-52.0916137695312,"0.008430089950561524,1.0250308592981663,-0.007665756157146763",189,236,4.71000003814697,"0.02606858417391777,1.0345168401484397,0.011864955136444352",99,53,-19.2137031555176,"-0.02640860428412755,1.0391793828444003,-0.0138359730088653",117,140,-25.1154747009277,"-0.003275815397500992,1.030876362747917,-0.010771603895136596"
C62e9,181,81,2.39211511611938,"-0.01690252721309662,1.0432459546622925,0.007647952431481256",227,36,13.9283971786499,"-0.02866070970892906,1.0422644138382993,0.019411395274879423",142,240,-15.0462484359741,"0.06778150051832199,0.9670384941879873,-0.006066228874408505",125,175,16.8217010498047,"0.008704725032051403,1.027782614084575,-0.00867000364078967",141,148,-0.694283843040466,"-0.0005583112438519797,1.0381298725690222,-0.002464740262795847"
D02e4,277,77,0.988322675228119,"-0.026659612183769544,1.0251620848774643,0.04641191031506177",220,164,2.34188532829285,"0.011874924103418987,0.952694593645154,0.059315535556346485",169,235,-7.09601497650147,"0.018909201895197233,1.0466256055102818,0.004285048079445347",205,205,-3.6546585559845,"0.046657311916351314,0.9526946056342984,0.04659821695397051",149,136,1.8976548910141,"-0.011881948908170065,0.9526946070023906,-0.0009078430144546343"
D02e5,166,144,52.0047149658203,"-0.0025450220704078676,1.0163660570604163,0.006807188425571983",144,134,39.735912322998,"-0.013579937616984051,0.9526945919923939,-0.005151612345834034",259,64,-32.105712890625,"-0.03213711182276408,1.0238960694987485,0.04076182294994337",204,215,1.06852090358734,"0.0551409179965655,0.9526946075686284,0.04575028240008923",209,191,4.99874782562256,"0.009493282735347747,1.04525147131583,0.013717640466525403"
D02e6,168,161,48.6186790466309,"0.004590518176555634,1.017392726601368,0.007533503827946314",259,64,-50.3757705688477,"-0.03212811569372813,1.0239117746618966,0.04075044050188348",137,136,18.4916305541992,"-0.011883138020833333,0.9526945985423212,-0.011093482859225788",254,215,4.43131828308106,"0.05511796921491623,0.9526945921088353,0.08812968847626312",112,66,0.676735818386078,"-0.07131368160247803,0.9526946077217016,-0.03232010831981165"
D02e9,255,84,2.51970291137695,"-0.028098629117012025,1.016083693796325,0.0447225043186843",275,43,0.164552286267281,"-0.03357380998631319,1.0328849635083543,0.03926287771138387",113,167,12.922511100769,"0.0144324125846227,0.952694589266468,-0.03147087798058344",190,142,13.9599609375,"-0.003699452877044678,1.010612233668929,0.018510544238083782",80,78,0.590434730052948,"-0.06114231348037719,0.9526946266624454,-0.059503094389014945"
D12e4,204,158,-72.7864837646484,"0.003649985790252686,1.0115320656631448,0.024651838562624134",214,116,45.1452140808105,"-0.014127968698740005,1.017637575305712,0.026615891335133937",236,104,-71.134521484375,"-0.018656604786713916,1.0191197356996429,0.03490366651183034",133,140,14.4508075714111,"-0.00849569042523702,0.9525828385996091,-0.014501956518590165",107,104,7.57517862319946,"-0.03908864816029866,0.9525828327250001,-0.03659868870488414"
D12e5,232,107,-52.2493324279785,"-0.017420108964045843,1.0191907434110459,0.0332437572557122",203,160,-70.593505859375,"0.004630124568939209,1.010517553662169,0.02455282647750762",251,151,-4.64459943771362,"0.000227673277258873,1.0458203340756298,0.023052294499832607",92,179,1.06133484840393,"0.02464592307806015,0.9525828439469595,-0.04935115639360997",101,67,1.08055770397186,"-0.07053303807973862,0.9525828456729433,-0.04169929054467793"
D12e6,232,106,-44.2263069152832,"-0.01783128927151362,1.0191700651212643,0.03325502783805114",90,180,0.876137852668762,"0.02549620568752289,0.9525828536874141,-0.05105172293978744",91,138,0.613987803459168,"-0.010198397636413574,0.9525828488083703,-0.05020143261348787",77,115,0.590434730052948,"-0.02974879990021388,0.9525828442591642,-0.06210681721864971",76,94,0.590434730052948,"-0.047598480383555096,0.9525828344937305,-0.06295731290141784"
D12e9,214,111,37.6113395690918,"-0.016181458756327628,1.0177305186159298,0.026576372778400068",91,178,0.647434175014496,"0.023796255588531497,0.9525828785960169,-0.05020142085399729",217,237,1.20416486263275,"0.07386078029870986,0.9525828671431149,0.0568220639922314",77,224,0.590434730052948,"0.026584780017534893,1.026144798932278,-0.026192865910089805",76,145,0.590434730052948,"-0.004249862829844157,0.9525828791696124,-0.06295729079183708"
